country,fifa_version,num_players,avg_overall,max_overall,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,avg_attack_overall,avg_defense_overall
Dominica,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Guam,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Bonaire,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Northern Mariana Islands,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Cambodia,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Djibouti,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Maldives,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Anguilla,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
British Virgin Islands,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
US Virgin Islands,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Brunei,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Mongolia,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Laos,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Bahamas,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Macao,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
East Timor,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Bhutan,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
Seychelles,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
San Marino,24,11,60.0,65.0,58.8,46.8,49.2,55.2,43.2,57.0,60.0,60.0
